SHP,GW,G,GP,Shift,Team,Pos,P,S,TOI,A,SHG,SPerc,FO,PPG,PIM,Player,PPP,Fantasy,PlusMin,OT
1,1,14,72,22.6,DET,C,30,150,15:41,16,1,9.3,53.9,3,12,Darren Helm,6,0,5,0
1,1,12,65,25.6,ANA,D,37,112,21:30,25,1,10.7,50,7,36,Sami Vatanen,17,0,5,0
2,3,12,62,18,TBL,C,19,87,13:31,7,2,13.8,48.5,0,51,Cedric Paquette,0,0,5,0
0,2,12,52,15.9,,R,17,77,12:00,5,0,15.6,42.8,2,38,Brett Connolly,3,0,5,0
2,2,9,78,20.6,NYR,C,24,110,13:50,15,2,8.2,54.5,0,28,Dominic Moore,1,0,5,0
0,0,7,31,19.3,NYI,R,12,55,12:47,5,0,12.7,0,0,4,Michael Grabner,0,0,5,0
0,1,6,40,17.6,SJS,C,19,45,12:05,13,0,13.3,44.2,1,4,Chris Tierney,3,0,5,0
1,1,6,71,19.3,NSH,C,17,93,12:49,11,0,6.5,46.5,0,18,Calle Jarnkrok,0,0,5,0
0,1,6,76,14.1,LAK,L,15,107,10:40,9,0,5.6,33.3,0,85,Kyle Clifford,0,0,5,0
0,2,5,28,16.1,DET,L,8,61,11:46,3,0,8.2,0,1,10,Teemu Pulkkinen,2,0,5,0
2,1,5,59,19.1,NJD,C,12,83,13:00,7,0,6,40.6,0,12,Stephen Gionta,0,0,5,0
1,0,4,80,18,MTL,L,17,77,13:01,13,0,5.2,51.6,0,132,Brandon Prust,0,0,5,0
0,1,4,60,19.2,,C,9,106,13:19,5,0,3.8,41.3,0,28,Olli Jokinen,0,0,5,0
0,0,4,38,15.1,OTT,R,7,23,9:44,3,0,17.4,60,1,78,Chris Neil,1,0,5,0
1,0,3,32,24.3,STL,D,8,52,17:07,5,1,5.8,0,0,23,Chris Butler,0,0,5,0
0,0,2,73,28,CHI,D,10,74,20:18,8,0,2.7,0,0,26,Johnny Oduya,0,0,5,0
0,0,2,36,21.5,WPG,D,8,35,16:50,6,0,5.7,0,0,22,Ben Chiarot,0,0,5,0
0,0,1,62,19.8,MTL,D,9,61,15:46,8,0,1.6,0,0,45,Nathan Beaulieu,2,0,5,0
1,0,0,79,24.3,PIT,D,8,51,18:54,8,0,0,0,0,17,Rob Scuderi,0,0,5,0
2,5,28,78,22.1,LAK,C,60,211,18:01,32,1,13.3,53.2,10,28,Jeff Carter,15,0,6,0
0,5,24,73,28.1,STL,L,62,221,19:59,38,0,10.9,50.1,8,33,Alexander Steen,24,0,6,1
3,5,22,74,22.9,BOS,L,40,172,16:53,18,2,12.8,40.6,2,95,Brad Marchand,2,0,6,3
0,4,22,47,18.2,FLA,C,24,138,14:45,2,0,15.9,48.8,7,14,Brandon Pirri,7,0,6,0
0,3,21,79,26.8,OTT,D,65,283,27:13:00,44,0,7.4,0,6,42,Erik Karlsson,30,0,6,1
0,1,19,80,19.7,WSH,L,45,135,16:26,26,0,14.1,43.8,3,10,Marcus Johansson,15,0,6,0
0,5,18,75,22.6,OTT,R,54,213,17:32,36,0,8.5,36.4,4,22,Bobby Ryan,14,0,6,1
0,3,14,67,18.4,,R,26,110,12:40,12,0,12.7,37.5,0,20,Lee Stempniak,1,0,6,0
0,4,11,51,18.7,STL,R,16,100,13:24,5,0,11,42.8,2,12,Dmitrij Jaskin,2,0,6,0
0,1,11,44,19.8,DAL,R,23,81,13:28,12,0,13.6,40,4,8,Patrick Eaves,7,0,6,0
1,2,10,62,17.9,WSH,R,20,84,12:48,10,0,11.9,56.5,0,20,Jay Beagle,0,0,6,0
2,2,10,49,26.6,CGY,C,27,98,17:57,17,2,10.2,48.1,0,14,Mikael Backlund,1,0,6,1
1,4,9,60,29.2,MIN,D,21,106,21:51,12,0,8.5,0,1,54,Marco Scandella,5,0,6,2
1,0,7,79,24.5,NSH,D,26,115,19:49,19,1,6.1,0,2,20,Seth Jones,11,0,6,0
2,2,7,77,20.9,BOS,C,27,109,15:08,20,1,6.4,49.1,0,48,Chris Kelly,0,0,6,0
1,0,7,56,18.7,CGY,C,16,42,11:44,9,0,16.7,50.5,0,28,Matt Stajan,0,0,6,0
0,0,3,62,16.7,DET,R,18,92,11:27,15,0,3.3,0,1,14,Tomas Jurco,2,0,6,0
0,0,1,48,22.5,,D,14,46,17:41,13,0,2.2,100,0,18,Sergei Gonchar,4,0,6,0
0,3,27,74,24.9,PIT,C,81,227,19:58,54,0,11.9,49.5,10,45,Sidney Crosby,31,0,7,1
0,3,26,78,27.6,STL,C,57,178,18:37,31,0,14.6,54.8,10,100,David Backes,15,0,7,0
0,6,22,79,23.1,CHI,L,51,197,17:15,29,0,11.2,42.7,2,12,Brandon Saad,10,0,7,1
1,2,21,64,20.7,PHI,L,28,129,14:06,7,1,16.3,45,2,30,Michael Raffl,2,0,7,0
0,3,20,79,20.9,NYI,C,42,183,15:53,22,0,10.9,44,10,22,Brock Nelson,15,0,7,0
0,2,18,59,20.9,WPG,C,40,123,16:26,22,0,14.6,51.6,5,38,Mathieu Perreault,11,0,7,1
0,1,11,73,19.3,DAL,C,28,78,13:03,17,0,14.1,50.3,4,21,Shawn Horcoff,5,0,7,0
1,1,7,44,22.3,BOS,C,29,65,18:15,22,1,10.8,52.4,1,22,David Krejci,8,0,7,0
1,2,6,78,32.6,LAK,D,43,205,29:00:00,37,0,2.9,0,0,54,Drew Doughty,15,0,7,0
0,1,4,70,18.8,NSH,C,14,53,12:23,10,0,7.5,56.3,0,56,Paul Gaustad,0,0,7,0
1,0,3,80,27.6,WSH,D,30,111,22:22,27,0,2.7,0,2,47,Matt Niskanen,10,0,7,0
0,1,2,67,29.6,VAN,D,20,50,20:59,18,0,4,0,0,12,Christopher Tanev,2,0,7,1
0,0,2,58,26.3,STL,D,12,53,18:04,10,0,3.8,0,0,2,Carl Gunnarsson,1,0,7,0
0,0,2,69,30.7,STL,D,13,89,22:47,11,0,2.2,0,0,22,Jay Bouwmeester,4,0,7,0
0,2,26,65,19.9,LAK,R,46,163,16:58,20,0,16,100,11,16,Marian Gaborik,18,0,8,0
1,3,24,67,26.9,WPG,C,52,142,19:58,28,1,16.9,49.5,9,20,Bryan Little,18,0,8,1
0,4,22,78,24.5,CGY,L,61,160,17:36,39,0,13.8,37.5,7,14,Johnny Gaudreau,20,0,8,0
1,4,19,75,20.8,WSH,C,33,142,14:51,14,1,13.4,52,1,20,Eric Fehr,1,0,8,2
0,2,15,78,23.4,WPG,C,47,163,18:31,32,0,9.2,42.9,3,24,Mark Scheifele,13,0,8,0
1,5,15,71,20.7,TBL,C,38,130,16:55,23,1,11.5,43.8,1,36,Alex Killorn,3,0,8,0
